Keywords,area,sqft,bedroom,bath,name,property type,completion year,no of floors,Furnishing Status,Number of Carpark,Floor Range,Deposit,Tenant Preference,PropertyID,Squash Court,Lift,Near KTM/LRT,Railway Station,Air-Cond,Security,Swimming Pool,School,Minimart,Cooking Allowed,Mall,Parking,Washing Machine,Gymnasium,Playground,Multipurpose hall,Park,Jogging Track,Tennis Court,Internet,Sauna,Barbeque area,area_sqft_numeric,cleaned_location,powerbi_location,State_Province,Country
"RM 12,000 per month",Taman Melawati,"2,800",,,Taman Melawati 2 Adjoining Ground Floor Shop 40x70 Great Location!,Shop lot,,,Not Stated,,Not Stated,,"Male, Female, Couple",112972981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,600 per month",Setapak,"1,400",,,taman sri rampai 3rd floor office space . walk up . actual photos . se,Office space,,,Not Stated,,Not Stated,,"Male, Female",112972977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 2,500 per month",Setapak,"1,400",,,taman sri rampai . 20x70 office space . walk up . near wisma rampai,Office space,,,Not Stated,,Not Stated,,"Male, Female, Couple",112972825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 2,100 per month",Arte Plus Jalan Ampang,750,3,2,Below Market Price 3bedroom 2bathroom With 2car parking  JALAN AMPANG,,,,Not Stated,,Not Stated,,"Male, Female, Couple",112972864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,Ampang,"Ampang, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 2,000 per month",Setapak,"1,400",,,taman sri rampai 2nd floor office space . walk up . near wisma rampai,Office space,,,Not Stated,,Not Stated,,"Male, Female, Couple",112972965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 2,900 per month",Sunway Velocity TWO,581,2,1,Sunway Velocity Two 2 bedroom unit (Full Furnish&Link Bridge to Mall),,,,Not Stated,,Not Stated,,Female,112921079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581,Cheras,"Cheras, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 2,600 per month",Anggun Residences,700,1,1,Below Market Price Fully Furnised studio  NEAR KLCC WITH QUILL MALL,,,,Not Stated,,Not Stated,,Male,112972602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,KL City,"KL City, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 3,800 per month",Wangsa Maju,"1,463",,,wangsa maju 1st floor office . 1463 sqf actual photos . wangsa metro,Office space,,,Not Stated,,Not Stated,,"Male, Couple",112972597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1463,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 6,000 per month",Wangsa Maju,"1,200",,,wangsa setia 4 . ground floor office space . actual photos . 20x60,Shop lot,,,Not Stated,,Not Stated,,"Male, Couple",112972668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,200 per month",Sri Penara,650,3,2,Pangsapuri Sri Penara Cheras 3R2B PF Sri Permaisuri HUKM Tasik Selatan,,,,Not Stated,,Not Stated,,"Male, Female, Couple",111627158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,Cheras,"Cheras, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
